Entity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.101855,0.099313,0.096692,0.094336,0.092439,0.09098,0.089709,0.088372,0.08733,0.086267,0.086021,0.086517,0.087023,0.087189,0.088158,0.088933,0.090054,0.091688,0.093589,0.095166,0.097327,0.098638,0.099891,0.101291,0.103137,0.104445,0.105808,0.107142
Albania,0.130782,0.129102,0.127063,0.126019,0.125402,0.12532,0.126148,0.127301,0.128839,0.130729,0.132704,0.134932,0.137541,0.140335,0.143047,0.145738,0.148561,0.1517,0.154945,0.157738,0.160337,0.16242,0.165446,0.167105,0.16941,0.171095,0.172627,0.174046
Algeria,0.189024,0.18699,0.185064,0.183793,0.182518,0.182169,0.182298,0.182681,0.183207,0.183524,0.184042,0.185198,0.187401,0.189419,0.191831,0.194149,0.196273,0.198161,0.200467,0.202695,0.204406,0.206218,0.207498,0.208892,0.20996,0.211434,0.212735,0.213612
American Samoa,0.187677,0.186826,0.185572,0.184369,0.18373,0.182864,0.182302,0.181644,0.180675,0.180648,0.18035,0.17983,0.180111,0.179543,0.180197,0.180084,0.180215,0.180478,0.180871,0.180675,0.180618,0.180384,0.180056,0.180232,0.179621,0.179144,0.178726,0.177808
Andean Latin America,0.28782,0.289362,0.290563,0.291833,0.293111,0.294516,0.296237,0.297929,0.30013,0.301996,0.303785,0.30527,0.307078,0.308966,0.311293,0.314079,0.317318,0.321958,0.326929,0.331577,0.335297,0.337862,0.340893,0.34413,0.347463,0.350127,0.352935,0.355475
Andorra,0.585917,0.580843,0.579633,0.578331,0.580882,0.583954,0.588271,0.591575,0.596933,0.602402,0.609424,0.616896,0.625135,0.633605,0.637793,0.640784,0.641946,0.64346,0.645572,0.647337,0.64824,0.652492,0.651261,0.651222,0.649979,0.647221,0.645775,0.644559
Angola,0.137854,0.136161,0.134572,0.133069,0.132146,0.131689,0.130904,0.131081,0.130607,0.130616,0.130784,0.131597,0.132211,0.13366,0.135232,0.137047,0.139244,0.143384,0.147989,0.15257,0.156364,0.159317,0.161691,0.164602,0.167412,0.169554,0.172163,0.173643
Antigua and Barbuda,0.299442,0.303019,0.307214,0.311361,0.314902,0.317333,0.319416,0.321759,0.323819,0.325506,0.32711,0.329071,0.330842,0.331833,0.333576,0.335202,0.337396,0.341188,0.345447,0.348243,0.350044,0.350378,0.351559,0.351153,0.350603,0.35062,0.350415,0.350368
Argentina,0.323686,0.326904,0.330504,0.334286,0.338418,0.342052,0.347589,0.353055,0.358989,0.363814,0.36584,0.365304,0.364991,0.363373,0.362547,0.362843,0.364132,0.367761,0.372471,0.378055,0.381185,0.384078,0.388199,0.390826,0.394867,0.397998,0.401108,0.404033
Armenia,0.141317,0.137635,0.134424,0.131542,0.128973,0.126777,0.125119,0.12365,0.122542,0.121564,0.121398,0.122517,0.124967,0.12843,0.131622,0.135408,0.139445,0.143598,0.148043,0.152224,0.155273,0.15735,0.159679,0.162291,0.163623,0.164968,0.166348,0.167047
